,accuracy
0,84.48275923728943
1,79.31034564971924
2,81.8965494632721
3,75.86206793785095
4,74.13793206214905
5,81.8965494632721
6,75.0
7,84.48275923728943
8,80.17241358757019
9,86.20689511299133
10,85.34482717514038
11,44.82758641242981
12,79.31034564971924
13,82.75862336158752
14,81.03448152542114
15,75.86206793785095
16,81.03448152542114
17,79.31034564971924
18,79.31034564971924
19,81.8965494632721
20,83.62069129943848
21,80.17241358757019
22,88.79310488700867
23,79.31034564971924
24,87.06896305084229
25,88.79310488700867
26,81.03448152542114
27,82.75862336158752
28,78.44827771186829
29,81.03448152542114
30,81.03448152542114
31,82.75862336158752
32,75.86206793785095
33,80.17241358757019
34,79.31034564971924
35,79.31034564971924
36,80.17241358757019
37,76.7241358757019
38,76.7241358757019
39,81.8965494632721
40,75.86206793785095
41,87.93103694915771
42,80.17241358757019
43,83.62069129943848
44,83.62069129943848
45,87.93103694915771
46,81.03448152542114
47,81.03448152542114
48,81.03448152542114
49,81.03448152542114
50,79.31034564971924
51,81.8965494632721
52,74.13793206214905
53,76.7241358757019
54,77.58620977401733
55,86.20689511299133
56,80.17241358757019
57,81.03448152542114
58,84.48275923728943
59,77.58620977401733
60,81.8965494632721
61,86.20689511299133
62,89.65517282485962
63,84.48275923728943
64,83.62069129943848
65,89.65517282485962
66,82.75862336158752
67,81.03448152542114
68,75.86206793785095
69,75.0
70,84.48275923728943
71,81.03448152542114
72,79.31034564971924
73,86.20689511299133
74,86.20689511299133
75,81.03448152542114
76,77.58620977401733
77,77.58620977401733
78,81.03448152542114
79,82.75862336158752
80,82.75862336158752
81,81.03448152542114
82,72.41379022598267
83,77.58620977401733
84,86.20689511299133
85,79.31034564971924
86,78.44827771186829
87,84.48275923728943
88,75.86206793785095
89,77.58620977401733
90,86.20689511299133
91,83.62069129943848
92,83.62069129943848
93,86.20689511299133
94,80.17241358757019
95,77.58620977401733
96,86.20689511299133
97,75.86206793785095
98,79.31034564971924
99,83.62069129943848
100,83.62069129943848
101,78.44827771186829
102,86.20689511299133
103,78.44827771186829
104,87.06896305084229
105,72.41379022598267
106,75.86206793785095
107,84.48275923728943
108,77.58620977401733
109,79.31034564971924
110,78.44827771186829
111,81.8965494632721
112,80.17241358757019
113,75.86206793785095
114,74.13793206214905
115,80.17241358757019
116,81.8965494632721
117,81.8965494632721
118,83.62069129943848
119,79.31034564971924
120,80.17241358757019
121,70.68965435028076
122,77.58620977401733
123,87.06896305084229
124,81.03448152542114
125,84.48275923728943
126,81.03448152542114
127,87.93103694915771
128,75.0
129,44.82758641242981
130,78.44827771186829
131,83.62069129943848
132,82.75862336158752
133,88.79310488700867
134,79.31034564971924
135,79.31034564971924
136,80.17241358757019
137,84.48275923728943
138,85.34482717514038
139,87.93103694915771
140,84.48275923728943
141,87.06896305084229
142,81.03448152542114
143,87.06896305084229
144,88.79310488700867
145,78.44827771186829
146,86.20689511299133
147,75.0
148,83.62069129943848
149,82.75862336158752
150,73.2758641242981
151,81.8965494632721
152,78.44827771186829
153,81.03448152542114
154,79.31034564971924
155,90.51724076271057
156,80.17241358757019
157,78.44827771186829
158,74.13793206214905
159,88.79310488700867
160,44.82758641242981
161,78.44827771186829
162,79.31034564971924
163,90.51724076271057
164,75.0
165,83.62069129943848
166,75.0
167,81.03448152542114
168,75.0
169,79.31034564971924
170,74.13793206214905
171,81.03448152542114
172,75.0
173,78.44827771186829
174,73.2758641242981
175,86.20689511299133
176,75.86206793785095
177,82.75862336158752
178,81.8965494632721
179,85.34482717514038
180,75.0
181,78.44827771186829
182,79.31034564971924
183,71.55172228813171
184,81.03448152542114
185,85.34482717514038
186,81.03448152542114
187,81.8965494632721
188,84.48275923728943
189,87.06896305084229
190,79.31034564971924
191,80.17241358757019
192,83.62069129943848
193,80.17241358757019
194,85.34482717514038
195,81.8965494632721
196,80.17241358757019
197,82.75862336158752
198,79.31034564971924
199,81.03448152542114
200,76.7241358757019
201,90.51724076271057
202,77.58620977401733
203,82.75862336158752
204,83.62069129943848
205,78.44827771186829
206,80.17241358757019
207,80.17241358757019
208,87.93103694915771
209,80.17241358757019
210,79.31034564971924
211,85.34482717514038
212,77.58620977401733
213,81.8965494632721
214,73.2758641242981
215,69.82758641242981
216,72.41379022598267
217,83.62069129943848
218,79.31034564971924
219,89.65517282485962
220,83.62069129943848
221,80.17241358757019
222,81.8965494632721
223,79.31034564971924
224,82.75862336158752
225,78.44827771186829
226,73.2758641242981
227,78.44827771186829
228,81.03448152542114
229,86.20689511299133
230,87.93103694915771
231,81.8965494632721
232,81.8965494632721
233,87.06896305084229
234,76.7241358757019
235,84.48275923728943
236,89.65517282485962
237,81.8965494632721
238,85.34482717514038
239,75.0
240,84.48275923728943
241,76.7241358757019
242,79.31034564971924
243,79.31034564971924
244,83.62069129943848
245,90.51724076271057
246,79.31034564971924
247,82.75862336158752
248,75.0
249,79.31034564971924
250,76.7241358757019
251,85.34482717514038
252,88.79310488700867
253,72.41379022598267
254,66.37930870056152
255,82.75862336158752
256,83.62069129943848
257,75.86206793785095
258,84.48275923728943
259,78.44827771186829
260,74.13793206214905
261,75.86206793785095
262,81.8965494632721
263,81.8965494632721
264,82.75862336158752
265,81.03448152542114
266,85.34482717514038
267,81.8965494632721
268,82.75862336158752
269,75.0
270,81.03448152542114
271,84.48275923728943
272,79.31034564971924
273,77.58620977401733
274,79.31034564971924
275,81.03448152542114
276,84.48275923728943
277,80.17241358757019
278,80.17241358757019
279,81.03448152542114
280,78.44827771186829
281,71.55172228813171
282,81.03448152542114
283,83.62069129943848
284,81.8965494632721
285,80.17241358757019
286,76.7241358757019
287,79.31034564971924
288,84.48275923728943
289,84.48275923728943
290,75.86206793785095
291,77.58620977401733
292,77.58620977401733
293,87.93103694915771
294,75.86206793785095
295,80.17241358757019
296,72.41379022598267
297,80.17241358757019
298,75.86206793785095
299,79.31034564971924
300,75.0
301,75.86206793785095
302,78.44827771186829
303,85.34482717514038
304,74.13793206214905
305,90.51724076271057
306,76.7241358757019
307,74.13793206214905
308,80.17241358757019
