,accuracy
0,85.34482717514038
1,80.17241358757019
2,82.75862336158752
3,78.44827771186829
4,76.7241358757019
5,89.65517282485962
6,92.24137663841248
7,76.7241358757019
8,88.79310488700867
9,80.17241358757019
10,88.79310488700867
11,87.93103694915771
12,91.37930870056152
13,91.37930870056152
14,77.58620977401733
15,79.31034564971924
16,89.65517282485962
17,83.62069129943848
18,78.44827771186829
19,77.58620977401733
20,89.65517282485962
21,81.03448152542114
22,79.31034564971924
23,83.62069129943848
24,80.17241358757019
25,75.0
26,81.8965494632721
27,89.65517282485962
28,80.17241358757019
29,77.58620977401733
30,88.79310488700867
31,76.7241358757019
32,80.17241358757019
33,81.03448152542114
34,80.17241358757019
35,87.06896305084229
36,78.44827771186829
37,88.79310488700867
38,86.20689511299133
39,78.44827771186829
40,87.93103694915771
41,81.8965494632721
42,80.17241358757019
43,88.79310488700867
44,87.93103694915771
45,89.65517282485962
46,76.7241358757019
47,77.58620977401733
48,86.20689511299133
49,76.7241358757019
50,83.62069129943848
51,80.17241358757019
52,85.34482717514038
53,77.58620977401733
54,84.48275923728943
55,76.7241358757019
56,89.65517282485962
57,87.93103694915771
58,87.06896305084229
59,88.79310488700867
60,79.31034564971924
61,85.34482717514038
62,81.03448152542114
63,79.31034564971924
64,76.7241358757019
65,86.20689511299133
66,82.75862336158752
67,80.17241358757019
68,85.34482717514038
69,89.65517282485962
70,84.48275923728943
71,85.34482717514038
72,76.7241358757019
73,81.03448152542114
74,78.44827771186829
75,77.58620977401733
76,90.51724076271057
77,77.58620977401733
78,76.7241358757019
79,81.03448152542114
80,78.44827771186829
81,79.31034564971924
82,90.51724076271057
83,78.44827771186829
84,80.17241358757019
85,83.62069129943848
86,76.7241358757019
87,79.31034564971924
88,81.8965494632721
89,80.17241358757019
90,80.17241358757019
91,81.03448152542114
92,90.51724076271057
93,85.34482717514038
94,81.03448152542114
95,78.44827771186829
96,80.17241358757019
97,89.65517282485962
98,81.03448152542114
99,87.93103694915771
100,82.75862336158752
101,78.44827771186829
102,80.17241358757019
103,93.96551847457886
104,87.93103694915771
105,86.20689511299133
106,86.20689511299133
107,87.06896305084229
108,80.17241358757019
109,81.03448152542114
110,83.62069129943848
111,75.86206793785095
112,89.65517282485962
113,87.06896305084229
114,78.44827771186829
115,77.58620977401733
116,92.24137663841248
117,76.7241358757019
118,87.93103694915771
119,83.62069129943848
120,81.8965494632721
121,88.79310488700867
122,79.31034564971924
123,81.03448152542114
124,78.44827771186829
125,76.7241358757019
126,87.06896305084229
127,79.31034564971924
128,88.79310488700867
129,77.58620977401733
130,79.31034564971924
131,81.8965494632721
132,88.79310488700867
133,77.58620977401733
134,87.93103694915771
135,78.44827771186829
136,78.44827771186829
137,86.20689511299133
138,88.79310488700867
139,75.86206793785095
140,87.06896305084229
141,83.62069129943848
142,77.58620977401733
143,81.03448152542114
144,76.7241358757019
145,85.34482717514038
146,92.24137663841248
147,87.93103694915771
148,81.8965494632721
149,85.34482717514038
150,79.31034564971924
151,75.86206793785095
152,77.58620977401733
153,81.03448152542114
154,90.51724076271057
155,86.20689511299133
156,76.7241358757019
157,91.37930870056152
158,76.7241358757019
159,93.96551847457886
160,79.31034564971924
161,81.03448152542114
162,80.17241358757019
163,75.86206793785095
164,79.31034564971924
165,81.03448152542114
166,79.31034564971924
167,78.44827771186829
168,81.03448152542114
169,89.65517282485962
170,78.44827771186829
171,79.31034564971924
172,85.34482717514038
173,92.24137663841248
174,83.62069129943848
175,79.31034564971924
176,90.51724076271057
177,85.34482717514038
178,91.37930870056152
179,83.62069129943848
180,78.44827771186829
181,77.58620977401733
182,76.7241358757019
183,90.51724076271057
184,79.31034564971924
185,79.31034564971924
186,89.65517282485962
187,90.51724076271057
188,90.51724076271057
189,87.93103694915771
190,87.93103694915771
191,79.31034564971924
192,77.58620977401733
193,77.58620977401733
194,79.31034564971924
195,87.93103694915771
196,78.44827771186829
197,86.20689511299133
198,80.17241358757019
199,77.58620977401733
200,78.44827771186829
201,77.58620977401733
202,90.51724076271057
203,76.7241358757019
204,75.86206793785095
205,80.17241358757019
206,80.17241358757019
207,81.03448152542114
208,79.31034564971924
209,91.37930870056152
210,80.17241358757019
211,82.75862336158752
212,77.58620977401733
213,78.44827771186829
214,78.44827771186829
215,81.8965494632721
216,79.31034564971924
217,90.51724076271057
218,87.06896305084229
219,81.03448152542114
220,78.44827771186829
221,89.65517282485962
222,77.58620977401733
223,80.17241358757019
224,79.31034564971924
225,81.8965494632721
226,78.44827771186829
227,78.44827771186829
228,88.79310488700867
229,87.06896305084229
230,78.44827771186829
231,86.20689511299133
232,75.0
233,78.44827771186829
234,91.37930870056152
235,88.79310488700867
236,88.79310488700867
237,77.58620977401733
238,79.31034564971924
239,79.31034564971924
240,79.31034564971924
241,81.8965494632721
242,83.62069129943848
243,81.03448152542114
244,92.24137663841248
245,77.58620977401733
246,88.79310488700867
247,79.31034564971924
248,92.24137663841248
249,77.58620977401733
250,75.86206793785095
251,92.24137663841248
252,78.44827771186829
253,82.75862336158752
254,92.24137663841248
255,80.17241358757019
256,90.51724076271057
257,86.20689511299133
258,84.48275923728943
259,79.31034564971924
260,79.31034564971924
261,88.79310488700867
262,79.31034564971924
263,83.62069129943848
264,81.8965494632721
265,87.06896305084229
266,80.17241358757019
267,78.44827771186829
268,84.48275923728943
269,76.7241358757019
270,78.44827771186829
271,77.58620977401733
272,80.17241358757019
273,84.48275923728943
274,75.86206793785095
275,79.31034564971924
276,87.93103694915771
